iter	Logloss
305	0.1821102825
306	0.1819676557
307	0.1818438632
308	0.1816655853
309	0.1815383489
310	0.1814505609
311	0.1813496171
312	0.1813094802
313	0.181141836
314	0.1810531118
315	0.1809583431
316	0.1808854792
317	0.1807090054
318	0.1805598849
319	0.1802973074
320	0.1802012502
321	0.1798904067
322	0.1797263981
323	0.1796070271
324	0.1795357753
325	0.1794302612
326	0.1793194135
327	0.1792162361
328	0.1790998642
329	0.1790543178
330	0.1789549521
331	0.1788770163
332	0.1787898204
333	0.1787004319
334	0.1786472363
335	0.1785064626
336	0.1783818337
337	0.1782709691
338	0.1781221868
339	0.1780541685
340	0.1779694216
341	0.177821206
342	0.1777196524
343	0.1776025427
344	0.1775326167
345	0.1773892954
346	0.1772828853
347	0.1771703878
348	0.1770916827
349	0.1770006638
350	0.1768608079
351	0.1767780011
352	0.1766660219
353	0.1766112377
354	0.1765246518
355	0.1763706627
356	0.1762562214
357	0.1761947107
358	0.1760896118
359	0.1760073606
360	0.1758941058
361	0.1758445933
362	0.1758030144
363	0.1756926885
364	0.175595237
365	0.1755227595
366	0.175415104
367	0.1753405206
368	0.1752310315
369	0.1750162633
370	0.1749698137
371	0.1749427573
372	0.1748617638
373	0.1745862131
374	0.1745137013
375	0.1744139134
376	0.1743305161
377	0.1741808095
378	0.1740941791
379	0.1740008651
380	0.1739041686
381	0.1738141222
382	0.1735779439
383	0.173524228
384	0.1734188391
385	0.1733419901
386	0.1732918325
387	0.1732095374
388	0.1730325132
389	0.1729429673
390	0.172903729
391	0.1727694362
392	0.1726824185
393	0.1724566141
394	0.1723949639
395	0.1723764357
396	0.1723070881
397	0.1722385554
398	0.1721902319
399	0.1721046992
400	0.1720336871
401	0.1719408465
402	0.1718454304
403	0.171756936
404	0.1716950479
405	0.1716380299
406	0.1715243432
407	0.1714137409
408	0.1713493963
409	0.1712639448
410	0.1711678308
411	0.1710918254
412	0.1710258344
413	0.170924156
414	0.1708574214
415	0.1707768419
416	0.1707362758
417	0.1706309809
418	0.1705736041
419	0.170437227
420	0.1703788261
421	0.1703410205
422	0.1702230981
423	0.1700276204
424	0.1699401644
425	0.1698168147
426	0.1697310904
427	0.1696735079
428	0.169609939
429	0.1695415148
430	0.169461245
431	0.1693899905
432	0.16933684
433	0.1692473416
434	0.1690690856
435	0.1689986829
436	0.1689127212
437	0.1688805851
438	0.1687126643
439	0.1686524548
440	0.1685794587
441	0.1685618476
442	0.1684969139
443	0.1684157112
444	0.1683194584
445	0.168221096
446	0.1681650941
447	0.1681014881
448	0.1679942482
449	0.1678654175
450	0.1677797107
451	0.1677124115
452	0.167670186
453	0.1675825747
454	0.167531559
455	0.1675195829
456	0.1674404005
457	0.167336982
458	0.1672514193
459	0.1671379563
460	0.167054716
461	0.166946692
462	0.1668176314
463	0.1667679651
464	0.1666599956
465	0.1665789156
466	0.1664732584
467	0.1664465872
468	0.1664135299
469	0.1663750825
470	0.166311189
471	0.1662565061
472	0.1661042565
473	0.1660514825
474	0.1659778226
475	0.1659573794
476	0.1658878687
477	0.1658407563
478	0.165774802
479	0.1657196352
480	0.165652999
481	0.1656159732
482	0.165547939
483	0.1653722663
484	0.165309851
485	0.1652384166
486	0.1652041702
487	0.1651500477
488	0.1650654097
489	0.1650356353
490	0.1649572837
491	0.1648857656
492	0.1648752495
493	0.1647750045
494	0.1646896532
495	0.1645456093
496	0.1644049917
497	0.1643629116
498	0.164247038
499	0.1641219687
500	0.1640221827
501	0.1639139026
502	0.1638506086
503	0.1637914262
504	0.1637123205
505	0.1636392179
506	0.1634914501
507	0.1634087234
508	0.1633750262
509	0.16331014
510	0.1632423524
511	0.1632309815
512	0.1631387943
513	0.1630818074
514	0.163046926
515	0.1629502735
516	0.1628838403
517	0.1628401533
518	0.162653234
519	0.1625860931
520	0.1625276568
521	0.1623982016
522	0.1623586854
523	0.1622897658
524	0.1622160217
525	0.1621813562
526	0.1621106321
527	0.1620465114
528	0.1620306766
529	0.1619459477
530	0.1619023506
531	0.1618209324
532	0.1617380075
533	0.1616890469
534	0.1616342466
535	0.1615897303
536	0.1615691685
537	0.1614920251
538	0.161408186
539	0.1613467539
540	0.1611950362
541	0.1611777699
542	0.1610664868
543	0.1610111381
544	0.1609665314
545	0.1608900612
546	0.1608142089
547	0.160764394
548	0.1606990431
549	0.1606401251
550	0.160627695
551	0.160590224
552	0.1605371463
553	0.1604646492
554	0.1604332838
555	0.1603159855
556	0.1601803398
557	0.1601161978
558	0.1600765481
559	0.1600101452
560	0.1599390332
561	0.1598841688
562	0.1598391549
563	0.1597754954
564	0.1596896615
565	0.1596048005
566	0.1595883742
567	0.1595630368
568	0.1595256749
569	0.1594856138
570	0.1594469475
571	0.1593836895
572	0.1593369401
573	0.1592831893
574	0.1592244422
575	0.1591916872
576	0.1591403747
577	0.1590857598
578	0.1590114586
579	0.1589260382
580	0.1588277864
581	0.1587863569
582	0.1587340088
583	0.1586658606
584	0.1586058648
585	0.1585315686
586	0.1584831648
587	0.1584391158
588	0.1583896825
589	0.1583167081
590	0.1582388652
591	0.1581527542
592	0.1580705119
593	0.1580381931
594	0.1579778392
595	0.15789635
596	0.1578237537
597	0.1577624953
598	0.1576370307
599	0.1575502306
600	0.1574727858
601	0.1574406559
602	0.1574347631
603	0.1573680856
604	0.1573166532
605	0.1573101559
606	0.157257605
607	0.1571907948
608	0.1571691643
609	0.157116934
610	0.1570796226
611	0.1570311033
612	0.1569701055
613	0.1569063927
614	0.1568850584
615	0.1568400599
616	0.1567347545
617	0.1566644837
618	0.1565782676
619	0.1565362581
620	0.1564619499
621	0.156429067
622	0.1563786886
623	0.1563602249
624	0.1562874968
625	0.1561051343
626	0.1560354255
627	0.155965929
628	0.1559527083
629	0.1559331247
630	0.1558577583
631	0.1557867502
632	0.1556891497
633	0.1556196526
634	0.1555446939
635	0.1554860409
636	0.1554402208
637	0.1553889099
638	0.1553479271
639	0.1553036137
640	0.1552217884
641	0.1551368664
642	0.1550814858
643	0.1550163551
644	0.1549344925
645	0.1548941008
646	0.1548476812
647	0.1548269147
648	0.1547884395
649	0.1547179909
650	0.1546259919
651	0.1545634849
652	0.1545238157
653	0.1545154485
654	0.1543704458
655	0.1543288623
656	0.1542549042
657	0.1542252587
658	0.1541789594
659	0.1541104312
660	0.1540567665
661	0.1540176945
662	0.1539554906
663	0.153839673
664	0.1537989412
665	0.1537874597
666	0.1537586463
667	0.1536925609
668	0.1536340942
669	0.1536029289
670	0.1535045283
671	0.1534407109
672	0.1533144896
673	0.1532252407
674	0.1531643668
675	0.1530994471
676	0.1530352679
677	0.1529333057
678	0.1528885435
679	0.1528109557
680	0.152759652
681	0.1527367574
682	0.1526910276
683	0.1525966928
684	0.1525298655
685	0.1524803278
686	0.152421044
687	0.1523642466
688	0.1523203108
689	0.1522609423
690	0.1521765502
691	0.1520657123
692	0.1519671658
693	0.1519034255
694	0.1518273578
695	0.1517512301
696	0.1516954913
697	0.1516557609
698	0.1516063345
699	0.1515478359
700	0.1514535218
701	0.151430054
702	0.151357451
703	0.1513504498
704	0.151265178
705	0.1511895405
706	0.1511202274
707	0.1510514502
708	0.1509746901
709	0.1508901373
710	0.1508553309
711	0.1507819736
712	0.1507133722
713	0.1507037433
714	0.1506624097
715	0.1506256354
716	0.1505632051
717	0.1505321483
718	0.1504978002
719	0.1504598754
720	0.1503961772
721	0.150349694
722	0.1502881348
723	0.1502362063
724	0.1501976518
725	0.1501446138
726	0.15010049
727	0.1500783419
728	0.1499542593
729	0.1498813421
730	0.1498272218
731	0.1497699177
732	0.149724902
733	0.1496667641
734	0.1496343374
735	0.1495807528
736	0.1495284789
737	0.1495231138
738	0.1494771982
739	0.1493423225
740	0.1492946773
741	0.1492631078
742	0.1491987741
743	0.1491732974
744	0.1491034113
745	0.1490259206
746	0.1489920738
747	0.1489448379
748	0.1488954767
749	0.1488339943
750	0.148785438
751	0.148741311
752	0.1487027274
753	0.1486212548
754	0.1485389168
755	0.1484833731
756	0.1484371996
757	0.1483926948
758	0.148297851
759	0.1482361426
760	0.1481938929
761	0.1481021758
762	0.1480608418
763	0.1479991978
764	0.1479838925
765	0.1479694823
766	0.1479053243
767	0.1478671382
768	0.1477991408
769	0.1477479917
770	0.1476836429
771	0.1476209716
772	0.1475467227
773	0.147457548
774	0.1474307672
775	0.1473464271
776	0.1472898435
777	0.1472574673
778	0.1472290671
779	0.147130138
780	0.1470684532
781	0.1470131054
782	0.1469556308
783	0.1469351062
784	0.1469141615
785	0.1468456984
786	0.1468263175
787	0.1467391096
788	0.1466831587
789	0.146622517
790	0.1465607423
791	0.146467494
792	0.1463755075
793	0.1463336687
794	0.1462566989
795	0.1462212017
796	0.1461716649
797	0.146112705
798	0.1460637785
799	0.1460222305
800	0.1459607018
801	0.1458792476
802	0.1458070842
803	0.1457689576
804	0.145733119
805	0.1456722329
806	0.1455817719
807	0.1455292612
808	0.1454682168
809	0.145385673
810	0.1453399785
811	0.145283243
812	0.1451542787
813	0.1450871007
814	0.1450694381
815	0.1450638578
816	0.145033358
817	0.1450101625
818	0.1449750026
819	0.1449007977
820	0.1448348412
821	0.1448130109
822	0.1447407319
823	0.1447031412
824	0.1446830599
825	0.1446244445
826	0.1445779593
827	0.1444955984
828	0.1444542781
829	0.14436079
830	0.1442761624
831	0.1442284489
832	0.1441917565
833	0.1441218449
834	0.1440648938
835	0.143983886
836	0.143959064
837	0.1439281782
838	0.1438704521
839	0.1438133076
840	0.1437527377
841	0.1437126689
842	0.1436440491
843	0.1435927472
844	0.1435339855
845	0.1434945366
846	0.143438979
847	0.143402797
848	0.1433494168
849	0.1433193422
850	0.1432486094
851	0.1432113981
852	0.1431753667
853	0.1431359886
854	0.14308259
855	0.1430235586
856	0.1429871397
857	0.1429189517
858	0.1428915532
859	0.1428590967
860	0.1428069551
861	0.1427440359
862	0.1426777537
863	0.1426302991
864	0.1425878204
865	0.1425286821
866	0.1424864366
867	0.1424042479
868	0.1423924
869	0.1423317503
870	0.1422745855
871	0.1422253337
872	0.1421825418
873	0.1421274699
874	0.1421142298
875	0.1420571677
876	0.1420447048
877	0.1419724781
878	0.1418679397
879	0.1418099516
880	0.1418025418
881	0.1417867025
882	0.1417348454
883	0.1416915394
884	0.1416490862
885	0.1415928385
886	0.1415462525
887	0.1415361372
888	0.1414856968
889	0.141437868
890	0.1413834661
891	0.1413467607
892	0.1413263406
893	0.14127365
894	0.141200797
895	0.1411586653
896	0.1411119213
897	0.1410579234
898	0.1410152353
899	0.1409776598
900	0.1408466035
901	0.1408109911
902	0.1407745838
903	0.1407230904
904	0.1406912247
905	0.1406509511
906	0.1406220069
907	0.1406117899
908	0.140532446
909	0.1404658479
910	0.140456932
911	0.1404178859
912	0.1404074398
913	0.140326679
914	0.1402843068
915	0.140237217
916	0.140193101
917	0.1401752023
918	0.1401236284
919	0.1400749709
920	0.1400438739
921	0.1399999478
922	0.1399560502
923	0.1399087656
924	0.1398480262
925	0.1397813475
926	0.1397194804
927	0.1396772497
928	0.1396577299
929	0.1396083458
930	0.1395646466
931	0.1395567933
932	0.1395080048
933	0.1394706328
934	0.1393583611
935	0.1393268244
936	0.1392622823
937	0.139214211
938	0.1391501704
939	0.1390684108
940	0.1390326025
941	0.1389760893
942	0.138934996
943	0.1389312842
944	0.1389042582
945	0.1388563641
946	0.1388164698
947	0.1387563514
948	0.1387348754
949	0.1386895037
950	0.1386467122
951	0.1385922209
952	0.1385466354
953	0.1385034192
954	0.1384617924
955	0.1384362237
956	0.1383647955
957	0.1383086491
958	0.1382571069
959	0.1382124163
960	0.1381815657
961	0.1381499465
962	0.1381106599
963	0.1380599538
964	0.1380203459
965	0.137938259
966	0.1378953944
967	0.1378484501
968	0.1378173589
969	0.1377018399
970	0.1375880542
971	0.1374868793
972	0.1373767648
973	0.1373267056
974	0.1372770074
975	0.1372605891
976	0.1372112995
977	0.1371104061
978	0.1370675337
979	0.1370324207
980	0.1370028692
981	0.1369310472
982	0.1368806327
983	0.1368330204
984	0.1368048619
985	0.13678756
986	0.1367541066
987	0.1367336724
988	0.1366868238
989	0.1366613601
990	0.1366025203
991	0.1365731985
992	0.136531768
993	0.1364757304
994	0.1364170114
995	0.1363417711
996	0.1363374617
997	0.1362923517
998	0.1362889939
999	0.1362491814
