iter	Passed	Remaining
205	890	3433
206	893	3423
207	896	3414
208	899	3405
209	902	3396
210	905	3387
211	908	3378
212	911	3368
213	914	3359
214	917	3349
215	920	3341
216	923	3332
217	926	3323
218	929	3314
219	932	3305
220	935	3297
221	938	3289
222	941	3280
223	944	3271
224	947	3262
225	950	3254
226	953	3246
227	956	3238
228	959	3230
229	962	3221
230	965	3213
231	968	3205
232	971	3197
233	974	3189
234	977	3181
235	980	3173
236	983	3166
237	986	3158
238	989	3151
239	992	3143
240	995	3136
241	999	3129
242	1002	3122
243	1006	3117
244	1010	3112
245	1014	3109
246	1019	3108
247	1024	3106
248	1029	3103
249	1032	3096
250	1035	3089
251	1038	3083
252	1041	3076
253	1045	3069
254	1048	3062
255	1051	3056
256	1055	3050
257	1058	3043
258	1061	3037
259	1064	3030
260	1068	3024
261	1071	3018
262	1075	3012
263	1078	3006
264	1081	2999
265	1085	2995
266	1089	2989
267	1092	2983
268	1095	2977
269	1098	2970
270	1101	2963
271	1105	2957
272	1108	2951
273	1111	2944
274	1114	2939
275	1117	2931
276	1121	2926
277	1124	2919
278	1127	2913
279	1130	2907
280	1133	2900
281	1136	2894
282	1140	2888
283	1143	2882
284	1146	2876
285	1149	2870
286	1152	2863
287	1155	2857
288	1158	2850
289	1161	2844
290	1164	2837
291	1167	2830
292	1170	2823
293	1173	2816
294	1175	2809
295	1178	2803
296	1182	2797
297	1185	2791
298	1187	2785
299	1190	2778
300	1194	2773
301	1197	2767
302	1200	2761
303	1203	2755
304	1206	2749
305	1209	2743
306	1213	2738
307	1215	2732
308	1219	2727
309	1222	2722
310	1225	2715
311	1229	2710
312	1232	2704
313	1235	2698
314	1238	2692
315	1241	2686
316	1243	2680
317	1247	2674
318	1250	2669
319	1253	2663
320	1256	2657
321	1259	2652
322	1262	2645
323	1265	2640
324	1268	2634
325	1271	2628
326	1274	2622
327	1277	2616
328	1280	2610
329	1283	2605
330	1286	2600
331	1289	2594
332	1292	2589
333	1295	2583
334	1298	2577
335	1301	2571
336	1304	2566
337	1307	2560
338	1310	2554
339	1313	2549
340	1316	2543
341	1319	2538
342	1322	2532
343	1325	2527
344	1328	2522
345	1331	2516
346	1334	2511
347	1337	2505
348	1340	2500
349	1343	2494
350	1346	2490
351	1349	2485
352	1352	2479
353	1356	2474
354	1359	2469
355	1362	2465
356	1365	2459
357	1368	2454
358	1371	2449
359	1374	2443
360	1377	2437
361	1380	2432
362	1382	2426
363	1385	2421
364	1388	2415
365	1391	2410
366	1393	2404
367	1396	2398
368	1399	2393
369	1402	2388
370	1405	2383
371	1408	2377
372	1411	2372
373	1413	2366
374	1416	2361
375	1419	2355
376	1422	2350
377	1425	2345
378	1428	2340
379	1430	2334
380	1433	2329
381	1436	2324
382	1439	2319
383	1442	2313
384	1445	2308
385	1448	2303
386	1450	2298
387	1453	2292
388	1456	2287
389	1459	2282
390	1462	2277
391	1465	2272
392	1468	2267
393	1471	2262
394	1473	2257
395	1476	2252
396	1479	2247
397	1482	2242
398	1485	2237
399	1488	2232
400	1491	2227
401	1494	2222
402	1497	2217
403	1500	2213
404	1502	2208
405	1505	2203
406	1508	2198
407	1511	2193
408	1514	2188
409	1517	2184
410	1520	2179
411	1523	2174
412	1526	2169
413	1529	2164
414	1532	2160
415	1536	2156
416	1539	2151
417	1541	2146
418	1544	2142
419	1548	2137
420	1550	2133
421	1553	2128
422	1556	2123
423	1559	2119
424	1562	2114
425	1565	2110
426	1569	2105
427	1571	2100
428	1574	2095
429	1577	2091
430	1580	2086
431	1583	2081
432	1586	2077
433	1589	2073
434	1592	2068
435	1595	2064
436	1598	2059
437	1601	2054
438	1604	2050
439	1607	2045
440	1610	2041
441	1613	2036
442	1616	2032
443	1619	2027
444	1622	2023
445	1625	2018
446	1628	2014
447	1631	2009
448	1634	2005
449	1637	2000
450	1640	1996
451	1643	1992
452	1645	1987
453	1648	1983
454	1652	1978
455	1654	1974
456	1657	1969
457	1661	1965
458	1664	1961
459	1667	1956
460	1669	1952
461	1672	1947
462	1675	1943
463	1678	1939
464	1681	1935
465	1684	1930
466	1687	1926
467	1690	1921
468	1693	1917
469	1696	1913
470	1699	1908
471	1702	1904
472	1704	1899
473	1708	1895
474	1711	1891
475	1714	1887
476	1717	1882
477	1720	1878
478	1723	1874
479	1726	1869
480	1728	1865
481	1732	1861
482	1735	1857
483	1738	1853
484	1741	1849
485	1744	1844
486	1747	1840
487	1749	1835
488	1752	1831
489	1755	1827
490	1758	1822
491	1761	1819
492	1764	1815
493	1767	1810
494	1770	1806
495	1773	1802
496	1776	1798
497	1779	1794
498	1782	1790
499	1785	1785
500	1789	1782
501	1792	1777
502	1795	1773
503	1797	1769
504	1800	1765
505	1803	1760
506	1806	1756
507	1809	1752
508	1812	1748
509	1815	1743
510	1818	1739
511	1820	1735
512	1823	1731
513	1826	1727
514	1829	1722
515	1832	1718
516	1835	1715
517	1838	1710
518	1841	1706
519	1844	1702
520	1847	1698
521	1850	1694
522	1853	1690
523	1856	1686
524	1859	1682
525	1862	1678
526	1865	1674
527	1868	1670
528	1871	1666
529	1874	1662
530	1877	1658
531	1880	1654
532	1883	1650
533	1886	1646
534	1889	1642
535	1892	1638
536	1895	1634
537	1898	1630
538	1901	1626
539	1903	1621
540	1906	1617
541	1910	1614
542	1913	1610
543	1916	1606
544	1919	1602
545	1922	1598
546	1925	1594
547	1928	1590
548	1931	1586
549	1934	1582
550	1937	1578
551	1940	1574
552	1943	1570
553	1946	1567
554	1949	1563
555	1952	1559
556	1955	1555
557	1958	1551
558	1961	1547
559	1964	1543
560	1967	1539
561	1970	1535
562	1973	1531
563	1976	1527
564	1979	1524
565	1983	1520
566	1986	1516
567	1988	1512
568	1991	1508
569	1994	1504
570	1997	1501
571	2001	1497
572	2004	1493
573	2006	1489
574	2009	1485
575	2012	1481
576	2015	1477
577	2018	1473
578	2022	1470
579	2024	1466
580	2027	1462
581	2030	1458
582	2033	1454
583	2036	1450
584	2039	1446
585	2042	1442
586	2045	1439
587	2048	1435
588	2051	1431
589	2054	1427
590	2057	1423
591	2060	1420
592	2063	1416
593	2066	1412
594	2069	1408
595	2072	1404
596	2075	1400
597	2078	1397
598	2081	1393
599	2083	1389
600	2086	1385
601	2089	1381
602	2092	1377
603	2095	1374
604	2098	1370
605	2101	1366
606	2104	1362
607	2107	1358
608	2110	1355
609	2113	1351
610	2116	1347
611	2119	1343
612	2122	1339
613	2125	1336
614	2128	1332
615	2131	1328
616	2134	1324
617	2137	1321
618	2140	1317
619	2143	1313
620	2146	1309
621	2149	1306
622	2152	1302
623	2154	1298
624	2158	1294
625	2161	1291
626	2164	1287
627	2166	1283
628	2169	1279
629	2173	1276
630	2176	1272
631	2179	1268
632	2182	1265
633	2184	1261
634	2188	1257
635	2191	1254
636	2194	1250
637	2197	1246
638	2200	1243
639	2203	1239
640	2206	1235
641	2209	1231
642	2212	1228
643	2215	1224
644	2218	1221
645	2221	1217
646	2224	1213
647	2227	1210
648	2230	1206
649	2233	1202
650	2237	1199
651	2240	1195
652	2243	1192
653	2246	1188
654	2249	1184
655	2252	1180
656	2254	1177
657	2257	1173
658	2260	1169
659	2263	1166
660	2267	1162
661	2269	1158
662	2272	1155
663	2275	1151
664	2278	1147
665	2281	1144
666	2284	1140
667	2287	1136
668	2290	1133
669	2293	1129
670	2296	1126
671	2299	1122
672	2302	1118
673	2305	1115
674	2309	1111
675	2311	1108
676	2314	1104
677	2318	1100
678	2320	1097
679	2324	1093
680	2327	1090
681	2330	1086
682	2333	1083
683	2336	1079
684	2339	1075
685	2342	1072
686	2345	1068
687	2348	1065
688	2351	1061
689	2354	1057
690	2357	1054
691	2359	1050
692	2362	1046
693	2365	1043
694	2368	1039
695	2371	1035
696	2374	1032
697	2377	1028
698	2380	1025
699	2383	1021
700	2386	1018
701	2389	1014
702	2392	1010
703	2395	1007
704	2398	1003
705	2401	1000
706	2404	996
707	2407	992
708	2410	989
709	2413	985
710	2417	982
711	2420	978
712	2423	975
713	2426	971
714	2429	968
715	2432	964
716	2435	961
717	2437	957
718	2440	953
719	2444	950
720	2446	946
721	2449	943
722	2453	939
723	2455	936
724	2459	932
725	2462	929
726	2465	925
727	2468	922
728	2471	918
729	2474	915
730	2477	911
731	2481	908
732	2483	904
733	2486	901
734	2489	897
735	2493	894
736	2495	890
737	2498	887
738	2502	883
739	2505	880
740	2508	876
741	2511	873
742	2514	869
743	2517	866
744	2520	862
745	2523	859
746	2526	855
747	2530	852
748	2533	848
749	2536	845
750	2539	841
751	2542	838
752	2545	834
753	2548	831
754	2551	827
755	2554	824
756	2557	820
757	2560	817
758	2563	813
759	2566	810
760	2569	807
761	2572	803
762	2575	800
763	2579	796
764	2581	793
765	2584	789
766	2587	786
767	2590	782
768	2593	779
769	2596	775
770	2599	772
771	2602	768
772	2605	765
773	2608	761
774	2611	758
775	2614	754
776	2617	751
777	2620	747
778	2623	744
779	2626	740
780	2629	737
781	2632	733
782	2635	730
783	2638	726
784	2641	723
785	2644	720
786	2648	716
787	2651	713
788	2653	709
789	2657	706
790	2659	702
791	2663	699
792	2666	695
793	2669	692
794	2672	689
795	2675	685
796	2678	682
797	2681	678
798	2684	675
799	2687	671
800	2690	668
801	2693	664
802	2696	661
803	2699	658
804	2702	654
805	2705	651
806	2708	647
807	2711	644
808	2714	640
809	2717	637
810	2720	633
811	2723	630
812	2726	627
813	2729	623
814	2732	620
815	2735	616
816	2739	613
817	2742	610
818	2746	606
819	2749	603
820	2752	600
821	2756	596
822	2759	593
823	2762	590
824	2766	586
825	2769	583
826	2772	579
827	2775	576
828	2778	573
829	2781	569
830	2784	566
831	2787	562
832	2790	559
833	2793	555
834	2795	552
835	2799	549
836	2801	545
837	2804	542
838	2807	538
839	2811	535
840	2814	532
841	2817	528
842	2820	525
843	2823	521
844	2826	518
845	2828	514
846	2832	511
847	2834	508
848	2837	504
849	2840	501
850	2843	497
851	2846	494
852	2849	491
853	2852	487
854	2855	484
855	2858	480
856	2861	477
857	2864	474
858	2867	470
859	2871	467
860	2874	464
861	2877	460
862	2879	457
863	2882	453
864	2886	450
865	2889	447
866	2892	443
867	2895	440
868	2898	436
869	2901	433
870	2904	430
871	2907	426
872	2910	423
873	2913	420
874	2916	416
875	2919	413
876	2922	409
877	2925	406
878	2928	403
879	2931	399
880	2934	396
881	2937	392
882	2940	389
883	2943	386
884	2946	382
885	2949	379
886	2953	376
887	2956	372
888	2959	369
889	2962	366
890	2965	362
891	2968	359
892	2971	356
893	2974	352
894	2977	349
895	2980	345
896	2983	342
897	2986	339
898	2989	335
899	2992	332
900	2995	329
901	2998	325
902	3001	322
903	3004	319
904	3007	315
905	3010	312
906	3013	308
907	3016	305
908	3018	302
909	3022	298
910	3025	295
911	3028	292
912	3031	288
913	3034	285
914	3036	282
915	3039	278
916	3042	275
917	3046	272
918	3049	268
919	3052	265
920	3055	262
921	3058	258
922	3061	255
923	3064	252
924	3067	248
925	3070	245
926	3073	242
927	3076	238
928	3079	235
929	3082	231
930	3085	228
931	3088	225
932	3091	222
933	3094	218
934	3097	215
935	3100	211
936	3103	208
937	3106	205
938	3109	201
939	3112	198
940	3114	195
941	3118	191
942	3121	188
943	3124	185
944	3127	182
945	3130	178
946	3133	175
947	3136	172
948	3139	168
949	3142	165
950	3145	162
951	3148	158
952	3151	155
953	3155	152
954	3158	148
955	3161	145
956	3164	142
957	3167	138
958	3171	135
959	3174	132
960	3177	128
961	3180	125
962	3183	122
963	3186	119
964	3189	115
965	3193	112
966	3196	109
967	3199	105
968	3203	102
969	3206	99
970	3209	95
971	3212	92
972	3215	89
973	3218	85
974	3222	82
975	3225	79
976	3228	75
977	3231	72
978	3234	69
979	3238	66
980	3241	62
981	3244	59
982	3247	56
983	3250	52
984	3254	49
985	3257	46
986	3260	42
987	3263	39
988	3266	36
989	3269	33
990	3272	29
991	3276	26
992	3279	23
993	3282	19
994	3284	16
995	3287	13
996	3290	9
997	3294	6
998	3297	3
999	3300	0
