iter	Passed	Remaining
402	10767	15951
403	10797	15928
404	10820	15896
405	10847	15870
406	10877	15848
407	10907	15827
408	10941	15810
409	10967	15781
410	10995	15756
411	11020	15727
412	11052	15709
413	11082	15686
414	11114	15667
415	11138	15636
416	11172	15620
417	11205	15601
418	11233	15577
419	11262	15552
420	11284	15519
421	11311	15493
422	11338	15466
423	11365	15439
424	11393	15415
425	11415	15381
426	11444	15358
427	11476	15338
428	11503	15310
429	11535	15290
430	11558	15259
431	11586	15234
432	11612	15206
433	11638	15178
434	11669	15156
435	11689	15121
436	11715	15093
437	11740	15064
438	11765	15035
439	11791	15007
440	11817	14980
441	11842	14950
442	11866	14919
443	11891	14891
444	11909	14853
445	11929	14817
446	11949	14783
447	11980	14761
448	12011	14739
449	12038	14713
450	12066	14688
451	12094	14663
452	12117	14631
453	12159	14623
454	12187	14598
455	12226	14585
456	12299	14614
457	12357	14624
458	12394	14608
459	12422	14582
460	12443	14548
461	12478	14530
462	12506	14505
463	12541	14487
464	12566	14458
465	12597	14435
466	12621	14405
467	12647	14377
468	12681	14357
469	12711	14334
470	12741	14310
471	12765	14279
472	12790	14251
473	12821	14227
474	12847	14200
475	12870	14168
476	12899	14143
477	12927	14117
478	12957	14093
479	12988	14070
480	13017	14046
481	13042	14016
482	13066	13986
483	13090	13956
484	13115	13926
485	13145	13902
486	13170	13873
487	13201	13851
488	13221	13816
489	13249	13790
490	13273	13760
491	13303	13735
492	13322	13701
493	13346	13671
494	13378	13648
495	13406	13622
496	13429	13591
497	13459	13567
498	13479	13533
499	13503	13503
500	13530	13476
501	13553	13445
502	13577	13415
503	13596	13380
504	13622	13352
505	13644	13321
506	13666	13289
507	13691	13260
508	13713	13228
509	13731	13192
510	13761	13168
511	13795	13148
512	13824	13123
513	13855	13100
514	13883	13074
515	13913	13050
516	13940	13023
517	13964	12993
518	13994	12969
519	14017	12939
520	14049	12916
521	14087	12900
522	14136	12893
523	14170	12872
524	14191	12840
525	14223	12817
526	14253	12792
527	14278	12764
528	14304	12736
529	14330	12708
530	14354	12678
531	14377	12647
532	14408	12624
533	14430	12593
534	14458	12567
535	14487	12541
536	14515	12515
537	14541	12487
538	14567	12459
539	14588	12427
540	14616	12400
541	14648	12378
542	14675	12350
543	14695	12318
544	14732	12299
545	14768	12280
546	14799	12256
547	14826	12229
548	14856	12204
549	14879	12174
550	14905	12146
551	14935	12121
552	14963	12095
553	14985	12064
554	15010	12035
555	15034	12005
556	15059	11977
557	15086	11949
558	15116	11925
559	15136	11892
560	15160	11863
561	15182	11832
562	15202	11800
563	15222	11767
564	15246	11738
565	15264	11704
566	15287	11674
567	15317	11649
568	15345	11623
569	15368	11593
570	15388	11561
571	15413	11533
572	15434	11501
573	15459	11473
574	15485	11446
575	15509	11416
576	15540	11392
577	15561	11361
578	15585	11332
579	15608	11302
580	15628	11270
581	15655	11243
582	15680	11215
583	15698	11182
584	15722	11153
585	15749	11126
586	15781	11103
587	15801	11071
588	15832	11047
589	15863	11023
590	15889	10996
591	15913	10967
592	15941	10941
593	15965	10912
594	15986	10881
595	16019	10858
596	16047	10832
597	16071	10804
598	16097	10776
599	16122	10748
600	16143	10717
601	16173	10692
602	16201	10666
603	16232	10642
604	16259	10615
605	16278	10583
606	16306	10557
607	16329	10528
608	16348	10496
609	16374	10469
610	16404	10443
611	16429	10416
612	16453	10387
613	16479	10360
614	16504	10332
615	16532	10305
616	16562	10281
617	16582	10249
618	16608	10222
619	16640	10199
620	16662	10169
621	16689	10142
622	16722	10119
623	16756	10096
624	16793	10075
625	16820	10049
626	16850	10024
627	16869	9992
628	16895	9965
629	16920	9937
630	16945	9909
631	16965	9878
632	16997	9855
633	17019	9825
634	17058	9805
635	17084	9777
636	17109	9749
637	17135	9722
638	17157	9692
639	17182	9665
640	17209	9638
641	17231	9608
642	17250	9577
643	17269	9546
644	17295	9519
645	17315	9488
646	17343	9462
647	17373	9437
648	17394	9407
649	17415	9377
650	17437	9348
651	17468	9323
652	17491	9294
653	17517	9267
654	17560	9249
655	17592	9225
656	17620	9199
657	17644	9170
658	17673	9145
659	17744	9140
660	17783	9120
661	17818	9097
662	17843	9069
663	17861	9038
664	17889	9012
665	17913	8983
666	17937	8955
667	17960	8926
668	17988	8900
669	18009	8870
670	18035	8843
671	18067	8818
672	18096	8792
673	18122	8765
674	18147	8737
675	18172	8709
676	18194	8680
677	18214	8650
678	18239	8622
679	18260	8593
680	18292	8568
681	18311	8538
682	18339	8511
683	18358	8481
684	18386	8455
685	18412	8427
686	18445	8403
687	18468	8375
688	18496	8349
689	18524	8322
690	18551	8295
691	18621	8288
692	18651	8262
693	18684	8238
694	18707	8209
695	18733	8182
696	18750	8151
697	18777	8124
698	18804	8097
699	18829	8069
700	18861	8045
701	18884	8016
702	18905	7987
703	18936	7961
704	18959	7933
705	18986	7906
706	19010	7878
707	19027	7847
708	19052	7819
709	19073	7790
710	19096	7762
711	19115	7732
712	19133	7701
713	19157	7673
714	19182	7646
715	19205	7617
716	19226	7588
717	19245	7558
718	19280	7535
719	19303	7506
720	19335	7482
721	19365	7456
722	19388	7428
723	19413	7400
724	19437	7372
725	19463	7345
726	19488	7318
727	19514	7291
728	19539	7263
729	19570	7238
730	19592	7209
731	19615	7181
732	19636	7152
733	19661	7125
734	19685	7097
735	19707	7068
736	19736	7042
737	19761	7015
738	19785	6987
739	19809	6959
740	19828	6930
741	19850	6902
742	19877	6875
743	19909	6850
744	19942	6825
745	19973	6800
746	20004	6775
747	20033	6749
748	20059	6722
749	20087	6695
750	20110	6667
751	20133	6639
752	20155	6611
753	20176	6582
754	20206	6557
755	20235	6530
756	20254	6501
757	20276	6473
758	20305	6447
759	20337	6422
760	20363	6395
761	20388	6368
762	20410	6339
763	20433	6311
764	20455	6283
765	20485	6258
766	20515	6232
767	20533	6202
768	20555	6174
769	20578	6146
770	20598	6118
771	20615	6088
772	20635	6059
773	20664	6033
774	20689	6006
775	20714	5979
776	20742	5953
777	20764	5925
778	20794	5899
779	20823	5873
780	20856	5848
781	20885	5822
782	20917	5797
783	20942	5769
784	20963	5741
785	20988	5714
786	21012	5686
787	21042	5661
788	21062	5632
789	21081	5604
790	21110	5577
791	21137	5551
792	21164	5524
793	21195	5499
794	21218	5471
795	21243	5444
796	21262	5415
797	21283	5387
798	21308	5360
799	21331	5332
800	21352	5304
801	21379	5278
802	21404	5251
803	21433	5225
804	21455	5197
805	21481	5170
806	21513	5144
807	21535	5117
808	21570	5092
809	21605	5067
810	21636	5042
811	21662	5015
812	21685	4987
813	21713	4961
814	21736	4934
815	21758	4906
816	21775	4877
817	21801	4850
818	21828	4824
819	21847	4795
820	21868	4768
821	21890	4740
822	21910	4712
823	21927	4683
824	21950	4656
825	21979	4630
826	22011	4604
827	22033	4577
828	22063	4551
829	22091	4524
830	22120	4498
831	22146	4471
832	22166	4443
833	22193	4417
834	22215	4389
835	22234	4361
836	22262	4335
837	22280	4307
838	22301	4279
839	22324	4252
840	22354	4226
841	22383	4200
842	22406	4173
843	22430	4145
844	22456	4119
845	22478	4091
846	22507	4065
847	22540	4040
848	22562	4012
849	22590	3986
850	22618	3960
851	22640	3932
852	22663	3905
853	22688	3878
854	22716	3852
855	22743	3826
856	22769	3799
857	22795	3772
858	22828	3747
859	22847	3719
860	22873	3692
861	22929	3670
862	22961	3645
863	22987	3618
864	23011	3591
865	23034	3564
866	23062	3537
867	23083	3510
868	23109	3483
869	23147	3458
870	23182	3433
871	23210	3407
872	23240	3380
873	23261	3353
874	23286	3326
875	23306	3299
876	23324	3271
877	23349	3244
878	23375	3217
879	23398	3190
880	23418	3163
881	23449	3137
882	23478	3110
883	23504	3084
884	23528	3057
885	23555	3030
886	23587	3004
887	23606	2977
888	23625	2949
889	23656	2923
890	23677	2896
891	23706	2870
892	23730	2843
893	23753	2816
894	23781	2790
895	23805	2763
896	23829	2736
897	23853	2709
898	23873	2682
899	23901	2655
900	23923	2628
901	23944	2601
902	23968	2574
903	23988	2547
904	24019	2521
905	24042	2494
906	24072	2468
907	24101	2441
908	24123	2414
909	24141	2387
910	24174	2361
911	24196	2334
912	24219	2307
913	24245	2281
914	24275	2255
915	24302	2228
916	24334	2202
917	24364	2176
918	24387	2149
919	24416	2123
920	24443	2096
921	24469	2070
922	24491	2043
923	24526	2017
924	24566	1991
925	24589	1965
926	24620	1938
927	24651	1912
928	24674	1885
929	24699	1859
930	24721	1832
931	24739	1804
932	24755	1777
933	24782	1751
934	24807	1724
935	24837	1698
936	24859	1671
937	24878	1644
938	24899	1617
939	24924	1590
940	24952	1564
941	24973	1537
942	24989	1510
943	25018	1484
944	25039	1457
945	25070	1431
946	25091	1404
