iter	RMSE
186	8.069784215
187	8.068824077
188	8.068128776
189	8.06716555
190	8.066597402
191	8.065795487
192	8.065275912
193	8.064182488
194	8.063176824
195	8.062689908
196	8.062126877
197	8.06135679
198	8.060678448
199	8.059620958
200	8.059232245
201	8.05869108
202	8.058081467
203	8.057173905
204	8.056444614
205	8.055835493
206	8.05478572
207	8.054076114
208	8.053669578
209	8.052880482
210	8.051944748
211	8.05131432
212	8.050982215
213	8.050129566
214	8.049415062
215	8.048751951
216	8.048249156
217	8.047676337
218	8.046850654
219	8.046184711
220	8.045214903
221	8.044762193
222	8.043843944
223	8.043168751
224	8.042755077
225	8.042005149
226	8.041349153
227	8.040802836
228	8.039870481
229	8.039193775
230	8.038580593
231	8.037991703
232	8.037452787
233	8.036814716
234	8.036046676
235	8.035220801
236	8.034653219
237	8.034190767
238	8.033380249
239	8.032977235
240	8.032280191
241	8.03159026
242	8.030962405
243	8.030372694
244	8.029814717
245	8.029374833
246	8.028857877
247	8.028434024
248	8.027867817
249	8.027406409
250	8.026972501
251	8.026173312
252	8.025388466
253	8.024738826
254	8.024225524
255	8.023799617
256	8.023268405
257	8.022502272
258	8.021974411
259	8.021457908
260	8.0209515
261	8.020124372
262	8.019623786
263	8.019198174
264	8.018592462
265	8.018146083
266	8.017717134
267	8.017051281
268	8.016439208
269	8.015917646
270	8.015570021
271	8.015175269
272	8.014277452
273	8.013984008
274	8.013548303
275	8.01314342
276	8.012579185
277	8.011987844
278	8.011577399
279	8.011038682
280	8.010629425
281	8.010087094
282	8.009427894
283	8.009067712
284	8.008281125
285	8.007837055
286	8.007570631
287	8.007136406
288	8.006699037
289	8.00614589
290	8.005624025
291	8.00515956
292	8.004199138
293	8.003830505
294	8.003345106
295	8.002773518
296	8.002422845
297	8.001846939
298	8.001314816
299	8.000516608
300	7.999826855
301	7.999362791
302	7.999027171
303	7.99864472
304	7.998200764
305	7.997870103
306	7.99724779
307	7.996821829
308	7.996157612
309	7.995435375
310	7.994931513
311	7.994623371
312	7.994101969
313	7.993664024
314	7.992964322
315	7.992431069
316	7.9917857
317	7.991303103
318	7.990941783
319	7.990214787
320	7.989825373
321	7.989534182
322	7.98910916
323	7.9887392
324	7.988070333
325	7.987590734
326	7.986932894
327	7.98640314
328	7.986170945
329	7.985693881
330	7.985085096
331	7.984824083
332	7.984215683
333	7.983925508
334	7.983426218
335	7.982849497
336	7.982288318
337	7.981771556
338	7.981338873
339	7.981009112
340	7.980537471
341	7.980010152
342	7.979552735
343	7.978958025
344	7.978490875
345	7.978056312
346	7.977621804
347	7.977274276
348	7.976737909
349	7.976260974
350	7.97585683
351	7.975303304
352	7.974481372
353	7.974038329
354	7.973620602
355	7.973199872
356	7.972606545
357	7.972157263
358	7.971739898
359	7.971079473
360	7.970769998
361	7.970422883
362	7.970102173
363	7.969777066
364	7.969245002
365	7.969014225
366	7.968341301
367	7.967848551
368	7.967612479
369	7.966974511
370	7.966411139
371	7.965987804
372	7.965582865
373	7.965031266
374	7.964553381
375	7.963920758
376	7.963414315
377	7.963133739
378	7.962613333
379	7.962079507
380	7.961707725
381	7.961202595
382	7.960856127
383	7.960433272
384	7.960029698
385	7.959644836
386	7.959286253
387	7.958764535
388	7.958307441
389	7.957777898
390	7.9572573
391	7.956923027
392	7.956262356
393	7.955830678
394	7.955485204
395	7.954910057
396	7.954657638
397	7.954271358
398	7.953692869
399	7.953174297
400	7.952790771
401	7.952420965
402	7.951877902
403	7.951509988
404	7.951280873
405	7.950871033
406	7.95054266
407	7.949871458
408	7.949384317
409	7.948993722
410	7.948564603
411	7.948102186
412	7.947691152
413	7.947345021
414	7.94698268
415	7.946745577
416	7.946216687
417	7.945811239
418	7.945469696
419	7.944988367
420	7.944722097
421	7.944293085
422	7.943557422
423	7.943214654
424	7.942695935
425	7.942521018
426	7.942077216
427	7.941747191
428	7.941425753
429	7.941014866
430	7.940569679
431	7.940209827
432	7.939904146
433	7.939333249
434	7.938957179
435	7.93861521
436	7.938035179
437	7.937736935
438	7.937397025
439	7.936909183
440	7.936618928
441	7.93617201
442	7.935702547
443	7.935300283
444	7.935117119
445	7.934894848
446	7.934663976
447	7.934187779
448	7.933789036
449	7.933509138
450	7.933155148
451	7.932659767
452	7.932393626
453	7.932112351
454	7.931841365
455	7.931456269
456	7.931030872
457	7.930675262
458	7.930280603
459	7.929909936
460	7.929405637
461	7.928964478
462	7.928622826
463	7.928292676
464	7.927873286
465	7.927337129
466	7.926980174
467	7.92665633
468	7.926229418
469	7.92589957
470	7.925568598
471	7.925093067
472	7.924791196
473	7.924311968
474	7.924031397
475	7.923737052
476	7.923400556
477	7.922965939
478	7.922434777
479	7.921903926
480	7.92156012
481	7.921245536
482	7.920966617
483	7.920759068
484	7.920483334
485	7.920094112
486	7.919768561
487	7.919460733
488	7.919019515
489	7.918682862
490	7.918347294
491	7.917923397
492	7.917527341
493	7.917002825
494	7.916603325
495	7.916175701
496	7.915951252
497	7.915488609
498	7.915323455
499	7.915013899
500	7.914633998
501	7.914158581
502	7.913891788
503	7.913473837
504	7.913037788
505	7.912810708
506	7.912499391
507	7.912151297
508	7.911815065
509	7.911630452
510	7.911301758
511	7.91094999
512	7.910706852
513	7.910161871
514	7.909944493
515	7.909619141
516	7.909159961
517	7.908735597
518	7.908185214
519	7.907663808
520	7.907393049
521	7.9071985
522	7.906872972
523	7.906358193
524	7.90612927
525	7.905582314
526	7.905245635
527	7.904953585
528	7.904672552
529	7.904341589
530	7.903969496
531	7.903727746
532	7.903351525
533	7.903166747
534	7.902735065
535	7.902006846
536	7.901691338
537	7.901224053
538	7.901025656
539	7.900911074
540	7.900550897
541	7.900196954
542	7.899957263
543	7.899685572
544	7.899329896
545	7.898915728
546	7.898701883
547	7.898325459
548	7.897982181
549	7.897736751
550	7.897454121
551	7.897003323
552	7.896678361
553	7.896476508
554	7.896245247
555	7.896034183
556	7.895773956
557	7.895325217
558	7.894961114
559	7.894533036
560	7.894253909
561	7.893897154
562	7.893739419
563	7.893600398
564	7.893156158
565	7.892891402
566	7.892622154
567	7.892285188
568	7.891909313
569	7.891706617
570	7.891352494
571	7.890717293
572	7.890477324
573	7.890216628
574	7.889873478
575	7.88965474
576	7.889265127
577	7.889095768
578	7.888725303
579	7.888527601
580	7.888322144
581	7.887689507
582	7.887402578
583	7.887267948
584	7.886864276
585	7.886557197
586	7.886148274
587	7.885869639
588	7.885462294
589	7.885015101
590	7.884743293
591	7.884533252
592	7.884216923
593	7.883831264
594	7.883551232
595	7.882937679
596	7.882669833
597	7.882415141
598	7.882200805
599	7.882051148
600	7.881766213
601	7.881424007
602	7.881050892
603	7.880315798
604	7.879905936
605	7.8796007
606	7.879246576
607	7.879067242
608	7.878859478
609	7.878583115
610	7.878275731
611	7.877954318
612	7.877588067
613	7.877122894
614	7.876704243
615	7.876441857
616	7.876127231
617	7.875992998
618	7.875677483
619	7.875395536
620	7.875085894
621	7.874833845
622	7.874576271
623	7.874265371
624	7.87385648
625	7.873600447
626	7.873144152
627	7.872907484
628	7.872633654
629	7.872390759
630	7.872017552
631	7.871727479
632	7.871407846
633	7.871189277
634	7.870442404
635	7.870065655
636	7.869938067
637	7.86971575
638	7.869462819
639	7.869133299
640	7.868738052
641	7.868511668
642	7.868078066
643	7.867862753
644	7.867645275
645	7.867494283
646	7.867160922
647	7.866904626
648	7.86657215
649	7.866214798
650	7.865927783
651	7.865417404
652	7.865064096
653	7.864695332
654	7.864226316
655	7.863880828
656	7.863618221
657	7.863314419
658	7.863188127
659	7.862851292
660	7.86256449
661	7.861852022
662	7.861630438
663	7.861371564
664	7.861022067
665	7.860737807
666	7.860496874
667	7.860130283
668	7.859854306
669	7.859705192
670	7.859352567
671	7.858970351
672	7.858746349
673	7.858502404
674	7.857965107
675	7.857678469
676	7.857498963
677	7.857252116
678	7.856962716
679	7.856711688
680	7.855942023
681	7.855670413
682	7.855342371
683	7.855092548
684	7.85481634
685	7.85455025
686	7.853868596
687	7.853679419
688	7.853393323
689	7.853118618
690	7.852874977
691	7.852674718
692	7.852425444
693	7.852118627
694	7.851757779
695	7.851519957
696	7.851263544
697	7.850917092
698	7.850555472
699	7.850322472
700	7.849982699
701	7.849771547
702	7.849540666
703	7.849263884
704	7.848882099
705	7.848574508
706	7.848362435
707	7.848133047
708	7.847902693
709	7.847690327
710	7.847482605
711	7.847197835
712	7.847012382
713	7.846808773
714	7.846581103
715	7.846318458
716	7.846156587
717	7.846039182
718	7.845327275
719	7.845199767
720	7.844785578
721	7.844531574
722	7.844295143
723	7.843996568
724	7.843908318
725	7.84357141
726	7.84333851
727	7.843050262
728	7.84264455
729	7.842345568
730	7.842162542
731	7.841857234
732	7.841540222
733	7.841067919
734	7.840682086
735	7.840440061
736	7.840128496
737	7.839641737
738	7.839458608
739	7.839107153
740	7.838685653
741	7.838481326
742	7.838268275
743	7.837955967
744	7.837651165
745	7.837347878
746	7.837109986
747	7.83681035
748	7.836553621
749	7.836244746
750	7.835916388
751	7.835771294
752	7.83549483
753	7.835292822
754	7.834969291
755	7.834553554
756	7.834428152
757	7.834137888
758	7.83381864
759	7.833565948
760	7.833251844
761	7.833034065
762	7.832833177
763	7.832610948
764	7.832499017
765	7.832121799
766	7.831886113
767	7.831605796
768	7.831333474
769	7.831014637
770	7.830909877
771	7.830692942
772	7.830456672
773	7.830196349
774	7.829998238
775	7.829622118
776	7.829220925
777	7.829071511
778	7.828697165
779	7.828398141
780	7.828197104
781	7.827948373
782	7.827591851
783	7.82731783
784	7.827045662
785	7.826801299
786	7.826589402
787	7.826261809
788	7.825994446
789	7.825818172
790	7.825601675
791	7.82533091
792	7.825099125
793	7.824534901
794	7.82430343
795	7.823992366
796	7.823853683
797	7.823598484
798	7.823362254
799	7.823133533
800	7.822960143
801	7.822652156
802	7.822462803
803	7.821775906
804	7.821611038
805	7.82141304
806	7.821176076
807	7.821026311
808	7.820737204
809	7.820488023
810	7.820233777
811	7.81994678
812	7.819701552
813	7.81946662
814	7.819153693
815	7.818947593
816	7.818691669
817	7.81840273
818	7.818080393
819	7.817943548
820	7.817776304
821	7.817590385
822	7.817350256
823	7.817152707
824	7.816875953
825	7.816520917
826	7.816280482
827	7.816154568
828	7.815845224
829	7.815649218
830	7.815420236
831	7.815173585
832	7.814839626
833	7.814646957
834	7.814358375
835	7.814102486
836	7.813523766
837	7.813217978
838	7.813092581
839	7.812874498
840	7.812406767
841	7.812144012
842	7.811973495
843	7.811688121
844	7.811352112
845	7.811117745
846	7.810669288
847	7.810350605
848	7.810066482
849	7.809835301
850	7.809542287
851	7.809390448
852	7.809224599
853	7.808961921
854	7.808691748
855	7.808452811
856	7.808135777
857	7.807872981
858	7.807620564
859	7.807328058
860	7.807121938
861	7.80688887
862	7.806702487
863	7.806284159
864	7.806127047
865	7.80583058
866	7.805414365
867	7.805102194
868	7.804877991
869	7.804607923
870	7.804425362
871	7.804221726
872	7.803682996
873	7.803528232
874	7.803329396
875	7.803056235
876	7.802854291
877	7.802557046
878	7.802387206
879	7.802112559
880	7.801971484
881	7.801532113
882	7.801220468
883	7.800995829
884	7.800787435
885	7.800682775
886	7.800492236
887	7.800250993
888	7.800133249
889	7.799822491
890	7.799603424
891	7.799401317
892	7.799083143
893	7.798890102
894	7.798613235
895	7.798353246
896	7.798181731
897	7.797962705
898	7.797740236
899	7.797484824
900	7.797353796
901	7.797183892
902	7.796911854
903	7.796799419
904	7.796476316
905	7.796313145
906	7.795952808
907	7.795771353
908	7.795651267
909	7.795467263
910	7.79508839
911	7.794997757
912	7.794772571
913	7.794506353
914	7.794238633
915	7.794018141
916	7.793742663
917	7.793502607
918	7.793281189
919	7.792808214
920	7.792433139
921	7.792236022
922	7.79209301
923	7.791635387
924	7.791241413
925	7.791031398
926	7.790581995
927	7.790339853
928	7.790066409
929	7.789903315
930	7.789732441
931	7.789506448
932	7.789300604
933	7.789029136
934	7.788850626
935	7.788553986
936	7.788236422
937	7.788041646
938	7.787827917
939	7.787626315
940	7.787402507
941	7.787114243
942	7.787043384
943	7.786551984
944	7.786311213
945	7.786025038
946	7.785838414
947	7.785571029
948	7.785272701
949	7.785075724
950	7.78484624
951	7.784496001
952	7.784267272
953	7.784182124
954	7.784004267
955	7.783784774
956	7.783669181
957	7.783467698
958	7.783170421
959	7.782903491
960	7.782648291
961	7.782502794
962	7.782327286
963	7.78216176
964	7.78197782
965	7.781710287
966	7.781486162
967	7.781279077
968	7.781054218
969	7.780924031
970	7.780799476
971	7.78063709
972	7.780401883
973	7.780177296
974	7.779897604
975	7.779674144
976	7.779429222
977	7.779313478
978	7.779118321
979	7.778922557
980	7.778572526
981	7.777922996
982	7.777726723
983	7.777602529
984	7.777462892
985	7.777041057
986	7.776927904
987	7.776836932
988	7.77664098
989	7.776512462
990	7.776318981
991	7.776138734
992	7.775903984
993	7.775440678
994	7.775018235
995	7.774849517
996	7.774537739
997	7.773924382
998	7.773653429
999	7.773403371
